dropped_profile,h1_beta1,h1_p,h1_n,h2_access_barriers,h2_access_barriers_p,h2_collective_responsibility,h2_collective_responsibility_p,h2_coercive_backlash,h2_coercive_backlash_p,h3_autonomy,h3_autonomy_p,h3_collective,h3_collective_p,h3_equity,h3_equity_p
P12,-2.11953177089323,0.27999600956105736,15,0.9608723579558026,0.029013898007497173,0.3539026834133605,0.6070397316402711,1.7938672278310621,0.14153216956370265,4.963461538461573,2.545750350714984e-12,-10.815384615384575,5.09406107172422e-36,4.767270132211495,2.741628221791887e-11
P13,-2.188516771544414,0.272785717572194,15,0.9316107871381705,0.03094892608260317,0.11124146272233659,0.8759773792723853,1.3011052123287823,0.2618659250958201,5.088461538461575,1.0373912831429996e-12,-10.963461538461498,7.786460634546969e-38,4.937888746995148,8.947628557899127e-12
P14,-2.1456589385102802,0.27646757655013643,15,1.1016332123979415,0.013098664985041291,0.09608575563643651,0.8909050639067765,1.5803572307846494,0.1875702204591504,4.8557692307692655,8.488138433849997e-12,-10.984615384615346,2.238642433015421e-40,4.674740835336495,3.468865578027465e-11
P15,-2.1227466063000233,0.28001618685065627,15,0.8867650306841828,0.042376146001963495,0.028021019223156696,0.9681389050307095,1.3042352811894236,0.2846490714104738,4.998076923076956,3.5539251762549934e-12,-10.96153846153842,1.3866510674191883e-37,4.865709510216303,7.14649405616902e-12
P16,-2.1653855207038606,0.27170218791939044,15,1.1193172068673332,0.011390345642917733,-0.26819240195145255,0.6745298915545446,2.1192011082252,0.05383091945988442,4.876923076923112,1.4109978779681909e-11,-10.967307692307653,2.435373894111248e-38,4.9132474459134166,8.778575881635498e-12
P17,-2.151276674608283,0.2751191579885461,15,0.9880242198558531,0.021256097272422135,0.12122082574910786,0.861684270203308,1.7848138206023219,0.1345148949842635,5.040384615384651,3.2836384160581277e-12,-10.703846153846115,5.393728956309196e-36,4.95357759915861,8.191521481512892e-12
P18,-2.138462063522545,0.27946616608252234,15,1.1681452240332546,0.006002719085840542,-0.03680646255066433,0.957495749973331,2.106828272694654,0.07161350310830931,4.975000000000035,6.847148982457839e-12,-10.742307692307653,3.892568933845472e-39,4.977075195312457,5.775579499805122e-12
P19,-2.1829890396511136,0.2727285774959678,15,1.1002611038657435,0.011602086312244245,0.13891337494227307,0.8441667949575743,1.5199921735467663,0.2035091067466157,5.051923076923112,2.0744957294307676e-12,-10.867307692307653,2.943989603682113e-36,4.973204627403803,1.949015451893974e-12
P20,-2.161516361294986,0.27629280867007333,15,1.1365619979271286,0.01086549928870441,0.04840271946005892,0.9445731556289507,1.3797534256048305,0.25353490748734364,4.8230769230769575,1.6352685561960923e-11,-10.924999999999962,2.9361289348774974e-36,4.7753568209134185,3.445548403920583e-11
P21,-2.070377561701725,0.2955569377616304,15,1.1114260649817655,0.012090629095034305,0.3297424075341495,0.6411734771597182,1.6618573455562224,0.16202292201721435,4.903846153846189,2.5767414789988203e-12,-10.884615384615346,5.013400699467066e-37,4.85205641526438,7.517131692571833e-12
P22,-2.1478024944729457,0.277416859914081,15,1.1615589252737994,0.009039517498681838,0.1038801588792796,0.8819320553904049,1.5456946815487875,0.19500803217958795,4.8557692307692655,7.41880449341982e-12,-10.857692307692268,8.124574382796819e-37,4.904043344350918,1.512220352463591e-11
P23,-2.1045444292854527,0.2869379578555212,15,1.103023661084916,0.012563205217030245,0.1135399963306219,0.8743412848938685,1.6000332046436165,0.18513923605386284,4.971153846153881,1.6504741498823749e-12,-10.82499999999996,7.647330080697865e-37,5.031246243990342,3.080036501437031e-12
P24,-2.135691339649462,0.2796922274004053,15,1.0644541267124668,0.015960822428858844,0.05590861325308949,0.9364098111429227,1.444633996460008,0.235998805997084,5.001923076923113,2.014597686940255e-12,-11.011538461538422,2.767209693063886e-38,4.986906550480727,2.9197435316221134e-12
P25,-2.1635409330446818,0.27477205321385034,15,1.103852867847636,0.010466590411550637,0.2471704350755599,0.7221794334162738,1.6224426053678263,0.1736800131650046,4.644230769230806,4.746443058651557e-11,-10.926923076923037,9.475610433782886e-38,4.90975435697111,1.1583707924239177e-11
P26,-2.151918718585182,0.27654214406730465,15,1.0772440905758618,0.013918123916497348,0.18657808557121336,0.7878335956175229,1.5552563788686105,0.18811385511219436,4.97884615384619,1.837398695442355e-12,-10.890384615384576,2.860808239101416e-37,5.102450796273995,8.200437834351708e-13
P27,-2.1666652697627162,0.27818265716132845,15,1.1340791880819054,0.007149834551412367,0.20758488402725428,0.7657190909266778,1.7252040504616915,0.14518565134460848,4.896153846153882,1.696931019096548e-11,-10.867307692307651,9.996962832136092e-37,4.869097430889379,1.9154706121271643e-11
